student_id,region,time_spent,modules_completed,quiz_score,assignment_timeliness,interaction_level,consistency_index,engagement_score,learning_trend,performance_label,learning_velocity
1,Suburban,14.3,8,72.69515950080492,49.36,81.21244599920833,0.4023949543664711,76.36,Decreasing,Medium,
2,Rural,14.9,1,50.443907871647525,71.49,95.77277948864248,0.6288996859487778,85.14,Decreasing,Low,
3,Rural,8.2,9,33.440251568634274,76.45,31.99396302824956,0.1057934450792897,36.5,Increasing,Low,
4,Rural,10.6,8,37.96662608310488,94.56,62.58091917284696,0.3865591494816159,57.79,Decreasing,Low,
5,Rural,3.7,9,97.47283295806052,90.67,92.25730631679292,0.6014091663235049,55.38,Increasing,High,
6,Rural,6.9,1,44.86208517485394,40.33,151.91098380519574,0.7463476103697805,93.21,Decreasing,Medium,
7,Urban,7.3,1,34.305979756839335,58.66,49.01059869367607,0.680849080751429,42.76,Decreasing,Low,
8,Suburban,11.8,7,38.50379925102338,82.64,138.9247273335674,0.8865385652110048,98.96,Stable,Medium,
9,Suburban,3.8,7,50.069485731997645,49.67,72.13396066584689,0.357557060967836,45.57,Decreasing,Low,
10,Suburban,2.7,9,49.56122005353398,46.6,126.94278164389578,0.1038103671811539,70.22,Stable,Low,
11,Urban,4.8,8,95.96903331997645,59.39,104.91787066324451,0.4845362053664969,64.46,Decreasing,Medium,
12,Rural,15.0,1,97.2105815847732,64.66,94.73550533898036,0.9301946289255992,84.87,Increasing,High,
13,Urban,11.7,1,82.00484746474321,62.07,126.6304660737273,0.4608429839004461,92.57,Stable,Medium,
14,Urban,5.6,4,32.01602568197885,70.73,97.5909034047972,0.9644593741700868,62.8,Decreasing,Low,
15,Rural,8.6,3,45.351018084342215,50.5,120.38239984871348,0.5367987565694861,81.69,Increasing,Low,
16,Urban,13.6,8,58.77257653899775,93.27,127.54220429772992,0.2552449903597441,97.77,Stable,Low,
17,Urban,4.1,1,32.1189724881129,69.63,59.82160675488603,0.6539707673006188,40.16,Increasing,Low,
18,Rural,4.4,6,100.0,69.2,17.281296290455842,0.7778078419845534,19.64,Decreasing,High,
19,Rural,1.3,1,33.99647524914709,99.67,54.781513262029385,0.4045961884579478,30.64,Decreasing,Low,
20,Suburban,3.4,9,57.746417436892,90.65,72.57108910650813,0.2007336208104485,44.79,Stable,Low,
21,Urban,6.0,7,57.01346875709116,55.37,23.48498696257509,0.0950407115633931,26.74,Increasing,Low,
22,Urban,1.4,2,35.754476773619785,74.7,96.78693095541296,0.1802538664040575,51.89,Decreasing,Low,
23,Rural,14.5,7,35.755611049677746,43.1,123.54134814274065,0.7777894538277839,98.02,Increasing,Low,
24,Rural,2.1,9,81.72090848056219,43.49,132.21494513288286,0.2921734813699486,71.36,Decreasing,Medium,
